No,TI024111,TI024114,PI024111,PI024114,PDI024112,FI024117,ZI024113,TI024202,TI024207,TI024208,PI024202,PI024207,PI024208,FI024202,FI024208,TI024301,PI02001A,FI02001A,SI0201,TIA024500A,TIA024501A,TIA024502A,TIA024503A,TIA024504A,TIA024505A,TIA024506A,TIA024507A,TIA024508A,TIA024509A,TIA024510A,TIA024511A,TIA024512A,TIA024513A,TIA024514A,TIA024515A,VIA024502X,VIA024502Y,VIA024503X,VIA024503Y,VIA024506X,VIA024506Y,VIA024507X,VIA024507Y,VIA024508X,VIA024508Y,VIA024511X,VIA024511Y,VIA024514X,VIA024514Y,VIA024515X,VIA024515Y,ZIA024503A,ZIA024503B,ZIA024504A,ZIA024504B,ZIA024512A,ZIA024512B,K024504,K024515,II024501,II024502,SI024402,SI024403,SI024404,SI024405,SI024406
1,23.64,87.38,95.36,0.6,6.95,195041.5,43.36,4600,185.52,32.23,0.58,6.76,6.77,140195.3,73616.34,58.04,9.09,4.86,4600,71.85,55.77,70.72,52.95,63.46,59.84,54.71,67.75,58.52,78.11,54.75,57.06,54.75,55.3,80.79,58.89,34.49,51.8,43.77,53.52,7.06,11.64,10.51,10.31,8.68,13.21,15.55,17.85,23.06,19.51,18.13,27.6,-0.27,-0.27,-0.46,-0.42,0.28,0.29,11558.9,4601.19,0,0,4600,4600,4600,4601,4600
2,22,87.89,96.18,0.6,6.8,193544.9,41.46,4604,185.23,32.5,0.58,6.71,6.72,135307.4,76212.87,58.19,8.72,3.37,4605,71.3,54.02,68.99,50.72,63.06,56.87,52.15,69.03,55.59,77.45,52.59,54.93,52.3,52.66,79.87,56.73,36.2,48.57,48.34,55.62,7.25,10.69,9.17,8.4,8.68,13.21,14.98,17.47,17.54,17.14,15.57,23.27,-0.26,-0.26,-0.46,-0.41,0.28,0.3,11567.31,4604.4,0,0,4604,4604,4604,4605,4604
3,23.85,88.04,96.09,0.6,6.81,193581,41.46,4602,185.08,32.94,0.58,6.76,6.77,139863.5,74572.03,58.23,8.89,0,4602,71.3,54.09,69.32,51.09,63.14,57.61,52.41,68.92,55.81,77.42,52.84,55.15,52.7,52.99,80.02,57.06,35.63,49.52,47.96,54.85,6.87,10.69,9.17,8.4,8.68,13.97,15.17,17.66,24.63,17.54,15.57,23.66,-0.25,-0.26,-0.46,-0.41,0.27,0.29,11560.38,4601.8,0,0,4602,4602,4602,4601,4601
4,25.83,87.93,96.09,0.6,7.07,192915.6,43.19,4629,184.5,33.06,0.58,6.74,6.75,141045.5,76553.62,58.52,8.99,4.81,4629,71.38,54.13,69.51,51.16,63.32,57.68,52.55,68.88,55.92,77.53,52.92,55.33,52.73,53.14,79.91,57.24,34.3,46.28,44.15,53.33,6.68,10.5,9.93,9.74,9.24,13.4,15.17,17.66,21.88,21.09,14.98,19.72,-0.25,-0.25,-0.45,-0.4,0.27,0.29,11625.76,4627.79,0,0,4629,4629,4628,4628,4628
5,27.06,87.78,95.98,0.6,7.09,193168.9,44.21,4608,182.01,33.06,0.58,6.69,6.7,140388.9,75108.27,58.67,8.85,3.4,4608,71.3,54.35,69.65,50.83,63.32,57.94,52.48,68.77,55.88,77.49,53.06,55.33,52.44,53.03,79.8,57.13,33.92,46.66,43.01,56.19,7.25,10.5,10.89,10.12,9.24,13.21,15.36,17.66,20.1,21.68,14.19,22.28,-0.24,-0.24,-0.45,-0.4,0.27,0.29,11577.52,4608.5,0,0,4608,4608,4608,4609,4609
6,28.02,88.07,95.92,0.6,7.69,192781.1,44.24,4600,185.08,32.74,0.58,6.7,6.7,139181.6,74531.84,58.52,9.1,0,4601,71.3,54.13,69.69,50.83,63.14,57.9,52.44,68.99,55.92,77.6,52.84,55.26,52.37,52.95,79.8,57.02,35.25,49.71,45.48,56.95,6.87,10.12,9.74,8.4,8.87,12.84,14.98,17.28,19.9,19.51,14.39,21.89,-0.23,-0.24,-0.44,-0.4,0.27,0.29,11557.42,4600.55,0,0,4600,4600,4600,4601,4600
7,28.7,88.18,95.83,0.61,7.11,194077.7,44.48,4610,184.28,32.52,0.58,6.66,6.67,140978,74828.76,58.48,8.88,0,4608,71.12,54.02,69.58,50.61,62.99,56.98,52.3,69.18,55.63,77.64,52.73,55.15,52.15,52.88,79.87,56.91,35.63,47.23,46.05,58.28,6.49,10.31,9.55,8.02,8.87,13.4,15.17,17.47,23.06,16.55,13.21,18.93,-0.23,-0.23,-0.45,-0.4,0.27,0.29,11577.99,4608.59,0,0,4610,4609,4610,4609,4610
8,29.59,88.48,95.8,0.6,7.04,195843.4,44.58,4603,184.2,32.3,0.58,6.8,6.81,142467.5,76930.16,58.3,8.8,3.36,4602,71.23,53.87,69.73,50.57,63.17,57.42,52.19,69.18,55.66,77.45,52.59,55.12,52.44,52.77,79.87,56.95,35.06,49.33,49.29,56.57,7.25,9.93,9.17,8.79,8.68,11.89,14.98,17.28,19.71,17.74,15.37,23.46,-0.23,-0.23,-0.45,-0.4,0.26,0.29,11560.16,4601.59,0,0,4603,4602,4602,4602,4602
9,29.97,88.77,95.71,0.6,7.08,197586.1,44.65,4620,185.52,32.4,0.58,6.81,6.82,141667.5,75730.15,58.23,9.12,3.36,4621,71.27,53.87,69.76,50.57,63.21,57.42,52.44,69.1,55.66,77.64,52.66,55.15,52.44,52.84,79.98,57.02,35.44,47.99,51,58.85,7.83,10.5,9.55,8.21,9.05,13.02,15.17,17.66,17.74,18.52,13.21,18.93,-0.22,-0.23,-0.45,-0.4,0.27,0.29,11609.38,4620.92,0,0,4620,4621,4620,4621,4621
10,30.1,88.66,95.71,0.6,7.46,193808.7,43.46,4600,185.16,32.4,0.58,6.75,6.76,141181.5,75911.91,58.04,8.86,0,4599,71.27,54.09,69.47,50.79,63.28,57.68,52.3,69.18,55.74,77.53,52.73,55.15,52.48,52.81,80.35,56.91,39.82,47.8,49.67,62.09,7.25,9.93,9.36,8.98,8.87,11.7,14.98,17.66,19.71,14.19,14.98,21.69,-0.22,-0.22,-0.46,-0.4,0.27,0.29,11549.07,4599.24,0,0,4600,4599,4600,4599,4600
