No,TI024111,TI024114,PI024111,PI024114,PDI024112,FI024117,ZI024113,TIA024500A,TIA024501A,TIA024502A,TIA024503A,VIA024502X
1,23.64,87.38,95.36,0.6,6.95,195041.5,43.36,71.85,55.77,70.72,52.95,34.49
2,22,87.89,96.18,0.6,6.8,193544.9,41.46,71.3,54.02,68.99,50.72,36.2
3,23.85,88.04,96.09,0.6,6.81,193581,41.46,71.3,54.09,69.32,51.09,35.63
4,25.83,87.93,96.09,0.6,7.07,192915.6,43.19,71.38,54.13,69.51,51.16,34.3
5,27.06,87.78,95.98,0.6,7.09,193168.9,44.21,71.3,54.35,69.65,50.83,33.92
6,28.02,88.07,95.92,0.6,7.69,192781.1,44.24,71.3,54.13,69.69,50.83,35.25
7,28.7,88.18,95.83,0.61,7.11,194077.7,44.48,71.12,54.02,69.58,50.61,35.63
8,29.59,88.48,95.8,0.6,7.04,195843.4,44.58,71.23,53.87,69.73,50.57,35.06
9,29.97,88.77,95.71,0.6,7.08,197586.1,44.65,71.27,53.87,69.76,50.57,35.44
10,30.1,88.66,95.71,0.6,7.46,193808.7,43.46,71.27,54.09,69.47,50.79,39.82
11,28.33,88.4,95.63,0.6,6.98,192698.6,45.29,71.38,53.98,69.8,50.61,36.97
12,26.55,88.29,95.63,0.6,6.9,194203.7,43.6,71.19,53.87,69.62,50.54,39.06
13,26.82,88.18,95.77,0.6,6.91,192373.1,42.92,71.12,53.72,69.21,50.46,37.54
14,26.55,87.96,95.74,0.6,7.04,197679.3,42.94,71.16,53.69,69.07,50.35,38.68
15,26.96,87.78,95.77,0.6,6.83,192963.6,43.53,71.05,53.69,69.18,50.21,36.97
16,24.87,88.59,95.86,0.6,6.84,193059.6,41.92,71.16,53.47,68.92,50.21,38.49
17,22.86,87.85,95.83,0.6,6.73,192948.6,41.46,71.01,53.43,68.81,50.13,37.73
18,21.93,87.56,95.89,0.6,6.64,193861.3,41.14,71.01,53.32,68.52,49.95,41.73
19,18.31,87.2,95.83,0.6,6.67,198404.9,38.92,70.94,53.03,67.79,49.7,38.68
20,17.83,86.87,95.8,0.6,6.59,194924,39.06,70.86,52.92,67.86,49.7,40.78
21,17.39,86.83,95.83,0.6,6.53,197248.9,39.62,70.94,52.77,67.79,49.59,37.54
22,17.05,86.65,95.89,0.6,6.66,192716.1,39.01,70.94,52.7,67.53,49.7,36.39
23,16.02,86.83,95.83,0.6,6.67,196771.4,38.45,70.83,52.77,67.46,49.55,37.35
24,16.19,86.43,95.86,0.6,6.61,195466.3,39.6,70.83,52.84,67.49,49.55,36.59
25,16.4,86.32,95.92,0.6,7.14,192809.6,39.11,70.86,52.77,67.42,49.48,37.16
26,16.77,86.61,95.98,0.6,7.01,198973.9,39.55,70.86,52.77,67.46,49.59,37.35
27,17.66,86.57,95.89,0.61,6.81,195822,41.82,70.79,52.95,67.68,49.66,35.06
28,19.51,87.12,95.86,0.6,6.81,190764.7,40.02,70.79,52.99,67.79,49.77,35.44
29,21.25,87.23,95.86,0.6,7.13,195336.4,40.63,71.05,53.32,68.12,49.95,34.49
30,22.99,87.63,95.74,0.6,7.04,195891.6,41.11,71.08,53.47,68.23,50.13,33.54
31,24.67,88.4,95.57,0.6,6.99,198935.9,42.21,71.19,53.54,68.63,50.35,34.68
32,26.51,87.71,95.45,0.6,7.12,196074.6,46.78,71.08,53.65,69.14,50.13,33.54
33,27.2,88.59,95.36,0.6,7.18,200696.8,44.65,71.16,53.65,69.21,50.46,34.3
34,27.71,88.44,95.3,0.6,7.28,195545.1,44.12,71.23,53.72,69.14,50.39,36.2
35,28.09,88.33,95.36,0.6,6.86,195792.3,44.75,71.16,53.8,69.25,50.46,35.25
36,26,88.59,95.24,0.6,6.89,202307.4,45.8,71.16,53.69,69.18,50.35,37.54
37,24.02,88.4,95.33,0.61,6.87,193654.1,44.65,71.27,53.76,69.18,50.39,36.39
38,22.93,87.71,95.27,0.6,7.1,196776.2,43.43,71.19,53.65,68.77,50.39,38.11
39,22.93,88.55,95.3,0.6,6.88,195262.3,42.46,71.16,53.61,68.67,50.39,38.87
40,22.52,88.26,95.24,0.6,6.9,197234,42.43,71.12,53.61,68.67,50.46,36.59
41,22.04,87.74,95.22,0.6,6.88,200875.9,42.14,71.05,53.54,68.59,50.32,40.01
42,20.81,87.2,95.16,0.6,6.9,199753.5,45.34,71.08,53.5,68.67,50.28,36.59
43,20.4,88.04,95.13,0.6,7.22,198224.9,41.31,70.94,53.43,68.67,50.21,41.73
44,19.23,87.85,95.1,0.6,6.7,195137.5,42.14,71.05,53.47,68.59,50.06,38.11
45,18.76,87.56,95.07,0.6,6.97,197817.9,42.07,71.08,53.32,68.52,49.99,37.54
46,19.06,87.42,95.07,0.6,6.89,199643.9,42.21,71.16,53.39,68.56,50.02,36.01
47,19.34,87.67,95.16,0.6,7.43,197355.4,42.21,71.05,53.58,68.56,50.24,36.01
48,19.2,87.34,95.19,0.6,6.7,192267.1,41.94,71.08,53.43,68.23,50.24,36.59
49,12.64,85.51,96.8,0.61,7.11,193639.9,39.72,71.3,54.6,68.74,51.86,38.3
50,12.71,83.2,96.8,0.6,6.9,195174.3,38.87,71.34,54.68,69.25,51.78,37.35
51,13.22,83.9,96.83,0.6,6.9,194513.6,38.92,71.48,54.64,69.36,51.93,38.87
52,13.73,84.41,96.86,0.6,7.19,194145.4,37.74,71.48,54.82,69.4,52.08,38.49
53,14.24,84.52,96.77,0.6,6.82,199629.5,38.45,71.52,54.79,69.62,52.04,37.54
54,15.1,84.6,96.74,0.6,7.31,196923.8,40.41,71.48,54.93,69.65,52,37.54
55,15.44,84.92,96.65,0.6,7.25,201069,39.87,71.56,55.04,69.84,52.15,37.54
56,16.02,85.47,96.62,0.6,7.15,197966.1,39.5,71.59,55.12,69.87,52.37,36.97
57,11.06,85.62,96.68,0.61,7.37,200016,41.77,71.34,54.24,69.07,51.2,37.54
58,12.57,86.32,96.68,0.61,7.32,201462.7,39.45,71.59,54.38,68.99,51.45,36.97
59,13.83,85.69,96.62,0.61,7.29,200536.3,43.53,71.38,54.64,69.51,51.53,36.2
60,16.47,86.87,96.48,0.61,7.16,200920.9,43.53,71.74,54.86,69.84,51.89,38.11
61,17.76,86.76,96.33,0.61,7.17,202950.5,46.24,71.63,55.08,70.02,52,35.82
62,19.1,87.89,96.24,0.61,6.73,200312.2,45.78,71.63,55.33,70.68,52.33,37.73
63,19.64,87.45,96.21,0.61,6.83,201703.1,45.36,71.81,55.48,70.53,52.44,37.73
64,19.95,87.38,96.24,0.61,6.83,204635.2,45.46,71.81,55.66,70.53,52.59,35.06
65,18.82,88.15,96.21,0.6,7.02,201078.1,43.09,71.85,55.63,70.46,52.84,37.16
66,17.56,87.23,96.21,0.6,7.15,204575.1,44.65,71.67,55.7,70.39,52.59,37.54
67,17.52,87.67,96.21,0.61,6.93,198703.9,43.53,71.63,55.52,70.09,52.55,37.35
68,17.35,88.26,96.24,0.6,6.93,199551.6,43.07,71.78,55.59,70.2,52.63,40.59
69,14.24,86.13,96.53,0.61,6.91,200053,40.02,71.38,54.53,68.99,51.34,35.25
70,15.68,85.88,96.39,0.61,7.42,197410.7,40.53,71.45,54.68,69.32,51.6,34.87
71,16.64,86.79,96.33,0.61,6.85,203112.4,41.02,71.74,54.97,69.62,51.93,34.49
72,17.56,87.49,96.3,0.61,6.75,197937,41.06,71.81,55.01,69.8,52.04,35.63
73,18.28,85.69,96.18,0.61,6.97,199196.3,45.44,71.41,55.04,70.02,51.78,33.35
74,18.41,87.2,96.15,0.61,6.94,200922.1,42.16,71.63,55.12,70.02,52.04,35.06
75,17.94,87.16,96.15,0.61,6.8,196708.2,42.21,71.56,55.08,69.91,52,36.2
76,16.7,86.5,96.24,0.61,6.76,197545.1,41.5,71.52,55.08,70.02,51.97,37.35
77,16.19,85.07,96.27,0.61,6.63,196979,47.71,71.48,55.01,70.13,51.78,36.78
78,15.58,87.34,96.33,0.61,6.69,196916.9,40.43,71.7,54.9,69.69,52.04,37.35
79,15.03,86.68,96.45,0.61,6.79,201511.3,39.45,71.56,54.97,69.51,52.04,37.16
80,14.82,87.27,96.42,0.61,6.66,201987.1,41.04,71.7,54.82,69.8,52,37.73
81,13.66,85.99,96.48,0.61,6.67,197944.1,43.31,71.56,54.79,69.54,51.86,37.35
82,13.42,86.21,96.45,0.61,6.71,196961.7,39.89,71.48,54.82,69.32,51.64,38.68
83,12.91,86.35,96.53,0.61,6.77,196885.7,39.45,71.48,54.68,69.51,51.67,39.25
84,12.43,86.65,96.56,0.61,6.74,198788.8,38.43,71.45,54.6,69.21,51.67,40.59
85,11.1,86.57,96.59,0.61,6.76,195861.2,38.5,71.41,54.49,68.99,51.6,40.21
86,11.51,85.33,96.53,0.61,6.85,197112.4,42.24,71.56,54.38,69.29,51.53,37.16
87,10.96,85.99,96.59,0.61,6.94,196154.2,38.04,71.38,54.49,68.88,51.56,37.54
88,9.87,85.88,96.68,0.61,7,198067,38.06,71.45,54.38,68.88,51.45,37.92
89,9.56,85.73,96.68,0.61,6.84,195204.7,38.06,71.41,54.31,68.67,51.42,38.87
90,8.98,85.88,96.77,0.61,6.87,198042.6,38.06,71.38,54.2,68.67,51.2,37.73
91,8.47,84.05,96.8,0.61,6.78,197859.6,39.87,71.19,54.05,68.48,50.94,37.54
92,8.88,85.11,96.89,0.61,7.21,196506.6,36.89,71.41,54.13,68.23,51.16,38.68
93,9.19,85.03,96.94,0.61,6.69,198902.8,38.16,71.3,54.02,68.41,50.94,37.16
94,10.55,85.11,96.94,0.61,6.65,199503.2,38.18,71.38,54.02,68.3,51.09,37.35
95,14.14,86.32,96.59,0.61,6.86,195268.8,40.04,71.52,54.53,69.25,51.42,35.44
96,15.23,83.39,96.53,0.61,6.72,199149.7,40.04,71.45,54.68,69.4,51.6,35.44
97,15.71,85.44,96.45,0.61,6.87,194715.8,40.65,71.38,54.9,69.69,51.6,35.82
98,15.65,85.62,96.5,0.61,6.7,196200,39.94,71.45,54.86,69.54,51.78,36.59
99,15.23,85.8,96.5,0.61,6.87,193290.5,40.02,71.38,54.82,69.76,51.67,36.59
100,14.62,86.02,96.48,0.61,6.98,197463.8,39.36,71.34,54.75,69.69,51.64,37.73
101,13.42,85,96.53,0.61,6.91,196050.7,43.8,71.3,54.57,69.43,51.34,37.54
102,11.65,85.55,96.8,0.61,6.81,196600.3,39.06,71.63,55.01,69.43,52.22,36.01
103,12.23,85.91,96.77,0.61,6.84,200795.5,38.99,71.78,55.26,69.51,52.44,36.39
104,1.49,86.94,97.09,0.61,6.87,197988.1,43.68,71.52,55.59,70.13,52.7,37.16
105,0.64,87.71,97.15,0.62,6.54,198987.4,43.58,71.56,55.63,70.42,52.73,37.92
106,0.85,86.68,97.3,0.61,6.44,198699.6,43.63,71.41,55.59,70.24,52.55,39.25
107,1.29,88.22,97.3,0.61,6.39,197502,42.09,71.67,55.66,70.31,52.81,38.11
108,1.32,88.37,97.32,0.61,6.4,201465.7,42.11,71.56,55.63,70.35,52.88,39.25
109,1.02,87.2,97.35,0.61,6.54,196779.8,42.16,71.41,55.77,70.06,52.73,38.49
110,1.39,87.89,97.41,0.62,6.39,202058,41.99,71.63,55.52,70.28,52.63,39.25
111,1.12,87.93,97.44,0.61,6.36,202453.9,42.58,71.67,55.59,70.35,52.84,39.63
112,1.32,88.92,97.38,0.61,6.46,200621.3,41.58,71.7,55.7,70.24,52.99,40.78
113,0.54,88.59,97.41,0.61,6.33,200810.9,41.55,71.7,55.52,70.17,52.99,39.44
114,0.06,88.15,97.44,0.61,6.4,198049,41.6,71.67,55.74,70.13,52.88,39.44
115,-0.45,87.2,97.38,0.61,6.38,195931.5,43.24,71.56,55.41,70.09,52.63,38.68
116,-0.93,88.73,97.32,0.61,6.39,195339.1,37.92,71.59,55.63,69.91,52.92,40.59
117,-1.21,88.15,97.38,0.61,6.41,199952.5,37.96,71.52,55.59,69.87,52.81,40.78
118,-1.1,88.29,97.47,0.61,6.54,199245.9,37.99,71.63,55.41,69.87,52.73,46.49
119,-1.27,88.15,97.38,0.61,6.48,196979.8,38.04,71.48,55.33,69.65,52.7,40.21
120,-1.65,88.15,97.41,0.61,6.53,196889.3,38.97,71.56,55.33,69.84,52.55,40.4
121,-1.51,87.63,97.47,0.61,6.56,195696.5,37.48,71.48,55.48,69.62,52.59,43.64
122,-2.64,87.45,97.59,0.61,6.97,192418.2,37.45,71.45,55.48,69.76,52.73,40.4
123,-2.74,86.76,97.65,0.61,6.62,200519.1,37.48,71.41,55.3,69.51,52.48,42.11
124,-2.33,87.12,97.65,0.61,6.57,194757.3,37.48,71.34,55.33,69.51,52.63,40.78
125,-1.27,87.2,97.65,0.61,6.55,195606.6,37.67,71.52,55.33,69.43,52.55,39.06
126,-0.66,87.93,97.53,0.61,6.54,197524.5,37.62,71.48,55.52,69.51,52.77,40.97
127,-0.25,88.44,97.47,0.61,6.58,197183.3,38.18,71.59,55.59,69.87,52.77,38.87
128,0.06,88.37,97.32,0.61,6.48,200336.1,38.16,71.59,55.48,69.87,52.84,40.97
129,-0.08,88.73,97.3,0.61,6.58,196959.2,38.18,71.63,55.63,69.95,52.81,40.78
130,0.57,87.2,97.24,0.61,6.84,194540.5,40.28,71.45,55.55,69.95,52.63,40.01
131,0.61,88.33,97.21,0.61,6.89,201967.4,39.14,71.67,55.7,70.2,52.88,39.06
132,0.71,88.62,97.21,0.61,6.8,196950.6,39.11,71.67,55.7,70.2,52.95,38.87
133,0.74,88.55,97.24,0.61,6.77,198330.6,39.75,71.67,55.66,70.24,52.99,38.49
134,0.71,89.03,97.21,0.61,6.81,199496.7,44.31,71.78,55.66,70.53,52.81,37.92
135,0.64,88.84,97.32,0.61,6.93,197683.9,38.97,71.74,55.77,70.39,52.95,42.11
136,0.5,88.73,97.35,0.61,6.79,196348.3,39.11,71.7,55.85,70.2,53.06,39.25
137,1.39,88.88,97.35,0.61,6.94,196961.2,39.11,71.67,55.66,70.17,52.99,40.59
138,0.61,88.77,97.38,0.61,6.85,193353.9,39.77,71.74,55.88,70.46,52.95,38.68
139,1.19,88.37,97.3,0.61,6.84,198174.5,42.26,71.67,55.77,70.61,52.95,38.68
140,1.49,88.4,97.3,0.61,7.12,195735.5,39.45,71.74,55.81,70.09,53.03,41.73
141,1.26,89.14,97.18,0.61,6.97,197739,39.62,71.78,55.77,70.46,53.1,39.63
142,1.73,88.99,97.24,0.61,7.14,199367.2,40.28,71.85,55.77,70.39,53.17,41.16
143,0.33,89.36,97.09,0.61,7.07,200705,40.65,71.78,55.88,70.31,53.17,40.21
144,0.3,88.84,97.24,0.61,7.01,200608.2,41.99,71.67,55.59,70.28,52.92,40.78
145,0.16,87.82,97.06,0.61,6.83,197084.8,42.26,71.67,55.63,70.31,52.88,39.82
146,-0.08,88.7,97.06,0.61,7.04,200806,41.75,71.78,55.7,70.42,52.92,38.87
147,0.13,87.89,97.03,0.61,7.02,202300.6,41.68,71.63,55.63,70.06,52.77,42.49
148,-0.35,88.22,97.15,0.61,7.02,201058.8,41.16,71.63,55.59,70.24,52.88,39.25
149,0.47,88.77,97.15,0.61,6.89,204401.8,41.11,71.63,55.59,70.13,52.99,40.21
150,1.29,88.95,97.15,0.61,6.92,203457.5,42.21,71.52,55.59,70.28,52.92,40.59
151,1.77,88.33,97.21,0.61,6.98,204710.1,43.31,71.74,55.66,70.39,52.99,39.82
152,1.43,88.11,97.3,0.61,6.87,202956.7,42.19,71.63,55.66,70.28,52.88,38.68
153,-0.56,89.25,97.35,0.61,7.12,196979.3,42.24,71.85,55.77,70.46,53.03,38.68
154,-0.93,89.1,97.35,0.61,6.91,202639.8,41.9,71.74,55.63,70.31,53.03,39.82
155,-0.18,88.88,97.27,0.61,6.9,201669.6,42.58,71.67,55.66,70.13,52.92,41.35
156,-0.28,88.92,97.15,0.61,6.85,201466.2,43.75,71.7,55.7,70.57,52.99,39.25
157,0.85,88,97.18,0.61,6.93,204826.6,44.31,71.59,55.66,70.46,52.88,37.35
158,1.56,89.1,97.18,0.61,6.86,198599.4,43.26,71.85,55.74,70.5,52.99,38.11
159,1.67,89.43,97.06,0.61,6.63,206840.2,41.99,71.78,55.77,70.53,53.14,40.4
160,2.52,89.17,97.15,0.61,6.78,200205.2,42.6,71.81,55.92,70.39,53.25,39.63
161,2.55,88.99,97.24,0.61,6.85,199983.9,44.24,71.85,55.99,70.83,53.17,38.68
162,2.11,89.98,97.35,0.61,7.22,199764.9,43.65,71.96,55.92,70.61,53.32,40.97
163,2.14,88.66,97.47,0.61,6.75,202325.6,43.6,71.78,55.99,70.75,53.25,43.06
164,2.14,89.36,97.5,0.61,6.72,199826.4,42.43,71.85,55.88,70.61,53.36,39.63
165,4.74,89.36,97.56,0.61,6.89,204220.4,43.6,71.78,56.07,70.75,53.25,38.3
166,5.8,89.21,97.59,0.61,6.88,202004.9,44.19,71.92,56.18,71.08,53.43,38.68
167,5.12,90.05,97.65,0.61,6.84,206147.8,42.48,72,56.36,70.97,53.65,42.87
168,4.71,89.17,97.65,0.61,6.65,199285.4,43.68,71.92,56.29,71.01,53.61,44.4
169,3.92,90.6,97.68,0.61,6.78,200178.9,41.46,71.89,56.36,71.08,53.69,46.87
170,2.11,89.21,97.76,0.61,6.74,199736.5,42.55,71.96,56.14,70.83,53.5,40.4
171,2.42,88.15,97.85,0.61,7.32,203236.2,43.65,71.74,56.07,70.75,53.32,41.73
172,2.9,88.29,97.82,0.61,6.79,210242.9,43.68,71.85,55.96,70.5,52.88,40.01
173,2.66,89.14,97.85,0.61,6.85,200685,42.02,71.67,55.85,70.35,53.03,42.11
174,1.94,88.48,97.97,0.61,6.72,201257.3,41.41,71.67,55.77,70.24,52.88,41.35
175,1.22,87.96,97.91,0.61,6.8,200849.1,41.43,71.56,55.63,69.91,52.73,41.92
176,0.33,87.82,97.91,0.61,6.69,205322.9,41.48,71.52,55.59,69.95,52.7,41.92
177,-0.63,87.45,98,0.61,6.68,201717.8,41.41,71.48,55.41,69.91,52.7,41.16
178,-0.97,87.12,98.06,0.61,6.76,199763.3,43.19,71.48,55.44,69.84,52.37,39.25
179,-1.31,88.11,98.15,0.61,6.71,204670.3,39.4,71.45,55.23,69.8,52.48,41.16
180,-1,87.09,98.2,0.61,7.37,203782.7,40.67,71.34,55.3,69.62,52.3,40.59
181,-1.21,87.93,98.26,0.61,6.47,203120.3,39.99,71.48,55.26,69.51,52.48,40.59
182,-1.51,87.49,98.26,0.61,6.79,200423.7,40.7,71.45,55.23,69.58,52.33,40.59
183,-1.31,86.5,98.2,0.61,6.7,200762.7,42.8,71.3,55.19,69.65,52.3,38.87
184,-1.27,87.6,98.15,0.61,6.75,202514.2,39.01,71.74,55.7,69.95,53.1,40.59
185,-1.17,87.27,98.06,0.61,6.81,200758.6,39.04,71.74,55.74,70.02,53.17,45.73
186,-1.14,87.2,98,0.61,6.76,204103.7,40.31,71.7,55.77,70.02,53.14,39.82
187,-0.49,87.09,97.97,0.61,6.67,199417.8,40.28,71.59,55.59,69.98,53.06,40.78
188,-0.73,85.18,97.91,0.61,6.74,204476.8,47.39,71.41,55.77,70.13,52.73,38.87
189,-0.63,87.31,97.91,0.61,6.92,199234.5,39.99,71.7,55.74,69.8,53.06,38.68
190,-1,87.05,97.88,0.61,6.42,203032.6,40.53,71.7,55.85,69.95,52.99,40.97
191,-1.38,87.31,97.94,0.61,6.54,200737.1,40.53,71.74,55.81,70.02,53.03,43.06
192,-1.96,86.98,97.94,0.61,6.62,202286.5,40.55,71.59,55.77,69.87,53.03,40.21
193,-1.86,85.33,97.91,0.61,6.38,200081.5,44.82,71.48,55.55,69.98,52.55,39.63
194,-1.72,86.76,97.88,0.61,6.6,201044.4,39.09,71.59,55.66,69.8,52.99,42.49
195,-1.82,86.28,97.88,0.61,6.54,200904.9,40.09,71.67,55.55,69.87,52.73,41.54
196,-2.27,86.24,97.85,0.61,7.05,202987.5,40.11,71.56,55.55,69.8,52.92,40.4
197,-2.51,86.1,97.91,0.61,6.77,202212.3,40.09,71.52,55.33,69.69,52.81,41.54
198,-2.1,85.91,97.85,0.61,6.99,201821,45.95,71.45,55.52,70.17,52.77,38.3
199,-2.95,86.21,97.91,0.61,6.53,199359.4,38.43,71.45,55.48,69.65,52.92,41.16
200,-4.15,86.13,97.85,0.61,6.43,201736.3,39.09,71.56,55.52,69.54,52.99,40.97
201,-4.62,85.99,97.79,0.61,6.6,202461.1,39.75,71.45,55.41,69.8,52.77,43.64
202,-4.04,86.06,97.76,0.61,6.55,199839.8,40.28,71.45,55.44,69.54,52.66,41.54
203,-4.56,84.3,97.71,0.61,6.5,198180.1,45.22,71.3,55.23,69.95,52.3,39.06
204,-5.14,85.4,97.71,0.61,6.49,199958.1,39.53,71.45,55.3,69.65,52.55,41.35
205,-5,85.29,97.68,0.61,6.54,199408.7,39.48,71.48,55.26,69.47,52.59,41.16
206,-5.79,85.88,97.73,0.61,6.44,199822.6,39.53,71.45,55.26,69.62,52.44,42.87
207,-5.96,85.36,97.73,0.61,7.13,199003.1,39.58,71.27,55.12,69.32,52.37,44.97
208,-6.09,82.36,97.73,0.61,6.61,195255.8,37.74,70.94,54.82,68.77,51.97,38.87
209,-5.75,85.03,97.76,0.61,6.67,197317.1,36.18,71.23,55.04,68.99,52.3,39.63
210,-5.24,84.81,97.73,0.61,6.69,196708.1,37.21,71.38,55.01,69.32,52.37,43.83
211,-4.56,85.03,97.71,0.61,6.65,195352.4,38.33,71.23,55.19,69.36,52.3,43.83
212,-3.36,84.92,97.62,0.61,6.44,194207.2,37.09,71.3,55.15,68.81,52.48,42.3
213,-2.3,83.61,97.44,0.61,6.55,196288.7,42.8,71.23,55.01,69.32,52.11,41.73
214,-0.9,86.24,97.3,0.61,6.55,203328.1,38.45,71.52,55.19,69.51,52.55,40.59
215,0.61,86.13,97.12,0.61,6.54,198452.3,40.77,71.59,55.66,68.81,53.21,40.4
216,1.39,83.28,97.09,0.61,7.4,196726.3,38.01,71.34,55.74,70.06,52.73,42.87
217,1.73,85.55,97.12,0.61,6.45,194877.4,37.99,71.48,55.77,70.39,52.92,41.16
218,1.94,83.79,97.03,0.61,6.5,194108.8,42.55,71.48,55.66,70.53,52.7,37.54
219,1.08,86.35,97.06,0.61,6.55,196667,37.04,71.67,55.85,70.2,53.03,41.35
220,0.85,85.55,97.12,0.61,6.47,195331.2,37.11,71.63,55.77,70.2,52.99,39.63
221,0.47,86.57,97.21,0.61,6.53,195484.2,36.6,71.7,55.85,70.31,53.06,40.59
222,0.57,86.43,97.24,0.61,6.75,193984.5,36.04,71.52,55.85,70.24,53.06,40.97
223,-0.15,85.47,97.32,0.61,6.6,197356.2,35.79,71.78,55.59,70.28,52.99,40.21
224,0.02,85.91,97.32,0.61,6.68,194411.6,36.04,71.67,55.59,69.98,52.92,40.01
225,-0.25,86.76,97.3,0.61,7.28,194997.9,35.67,71.59,55.66,69.87,52.99,38.49
226,-0.56,86.43,97.3,0.61,6.63,195790.7,36.13,71.67,55.66,70.09,52.88,39.06
227,-0.59,86.24,97.27,0.61,6.68,198483.5,36.08,71.56,55.66,70.02,52.81,39.63
228,-0.86,86.5,97.24,0.61,6.72,197467.4,36.48,71.67,55.63,70.02,52.81,39.44
229,-1,86.46,97.24,0.61,6.72,194990.6,37.11,71.74,55.55,70.09,52.81,42.49
